side,price,born_ts,max_size,dist_bps,fate,life_ms,eaten_frac,fwd_bps,fwd_10s,fwd_30s,fwd_60s,fwd_300s,fwd_900s
1,1883.47,1786492803343,42.99,10.70979640756808,ушла,558,0.003,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1883.51,1786492803343,93.76,10.922397825087838,ушла,558,0.047,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1880.3,1786492803802,53.15,5.235782988754495,ушла,197,0.0,4.305567736945237,2.764068176804857,3.8803264789755154,4.305567736945237,4.358722894189926,0.5847067297071185
1,1883.45,1786492803343,72.69,10.6034956988082,ушла,1056,0.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
1,1883.45,1786492804898,72.69,11.880619705881038,ушла,400,0.0,-3.9336280010537905,-2.1794425411247875,-3.508370919859116,-3.9336280010537905,-3.986785136201876,-0.21262854059678205
-1,1881.17,1786492803343,86.77,1.5147850998288799,съедена,2258,1.002,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
1,1883.38,1786492803346,73.23,11.029577872807828,ушла,2255,0.0,-4.41183114912258,-3.667666858909735,-3.98659441185778,-4.41183114912258,-4.464985741279293,-0.21261836863240013
1,1883.33,1786492803343,58.72,9.96569144624772,ушла,2355,0.0,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1879.06,1786492805601,92.44,11.189874359771835,ушла,97,0.0,3.667939813891685,3.0300372375635654,3.2426714296729386,3.667939813891685,3.7210983619184734,-0.053158548027898433
1,1883.26,1786492803343,48.93,9.593638965588141,ушла,2856,0.998,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1881.16,1786492805601,48.7,0.026579274013081074,съедена,598,0.58,3.667939813891685,3.0300372375635654,3.2426714296729386,3.667939813891685,3.7210983619184734,-0.053158548027898433
1,1881.91,1786492805201,50.15,3.69442089288006,ушла,1098,1.0,-3.9336280010537905,-3.295742379262334,-3.508370919859116,-3.9336280010537905,-3.986785136201876,-0.21262854059678205
-1,1881.07,1786492803343,69.53,2.046288643629483,съедена,3156,1.183,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
1,1882.99,1786492803347,76.22,8.956548778641277,ушла,3152,0.066,-4.41183114912258,-3.667666858909735,-3.98659441185778,-4.41183114912258,-4.464985741279293,-0.21261836863240013
1,1883.24,1786492803346,58.8,10.285413582593852,ушла,3252,0.002,-4.41183114912258,-3.667666858909735,-3.98659441185778,-4.41183114912258,-4.464985741279293,-0.21261836863240013
-1,1881.09,1786492803346,58.57,1.14282373139878,съедена,3252,1.027,4.41183114912258,3.667666858909735,3.98659441185778,4.41183114912258,4.464985741279293,0.21261836863240013
1,1883.33,1786492806299,58.72,11.721709083659658,ушла,299,0.0,-3.4553790949565233,-2.817462954349814,-3.030101667885754,-3.4553790949565233,-3.5085387733391205,0.2657983919207574
1,1883.16,1786492803343,62.67,9.062135421788748,ушла,3357,0.058,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
